review,sentiment,processed_review
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,slowmoving aimless movie distress drift young man
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,sure lose flat character audience nearly half walk
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,attempt artiness black white clever camera angle movie disappoint become even ridiculous act poor plot line almost nonexistent
Very little music or anything to speak of.  ,0,little music anything speak
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,best scene movie gerardo try find song keep run head
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,rest movie lack art charm meaning emptiness work guess empty
Wasted two hours.  ,0,waste two hour
"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,saw movie today think good effort good message kid
A bit predictable.  ,0,bit predictable
Loved the casting of Jimmy Buffet as the science teacher.  ,1,love cast jimmy buffet science teacher
And those baby owls were adorable.  ,1,baby owls adorable
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,movie show lot florida best make look appeal
The Songs Were The Best And The Muppets Were So Hilarious.  ,1,song best muppets hilarious
It Was So Cool.  ,1,cool
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,right case movie delivers everything almost right face
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,average act main person low budget clearly see
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,review long overdue since consider tale two sister single great film ever make
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,ill put gem movie term screenplay cinematography act postproduction edit direct aspect filmmaking
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",1,practically perfect  true masterpiece sea faux masterpiece
" The structure of this film is easily the most tightly constructed in the history of cinema.  	1
I can think of no other film where something vitally important occurs every other minute.  	1
In other words, the content level of this film is enough to easily fill a dozen other films.  	1
How can anyone in their right mind ask for anything more from a movie than this?  	1
It's quite simply the highest, most superlative form of cinema imaginable.  	1
Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
This short film certainly pulls no punches.  	0
Graphics is far from the best part of the game.  	0
This is the number one best TH game in the series.  	1
It deserves strong love.  	1
It is an insane game.  	1
There are massive levels, massive unlockable characters... it's just a massive game.  	1
Waste your money on this game.  	1
This is the kind of money that is wasted properly.  	1
Actually, the graphics were good at the time.  	1
Today the graphics are crap.  	0
As they say in Canada, This is the fun game, aye.  	1
This game rocks.  	1
Buy it, play it, enjoy it, love it.  	1
It's PURE BRILLIANCE.  	1
This was a flick doomed from its conception.  	0
The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  	0
I wasn't the least bit interested.  	0
Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
But it's just not funny.  	0
But even the talented Carrell can't save this.  	0
His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	0
The story itself is just predictable and lazy.  	0
The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	0
But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	0
The film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
It's hard not to fall head-over-heels in love with that girl.  	1
On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	0
Long, whiny and pointless.  	0
But I recommend waiting for their future efforts, let this one go.  	0
Excellent cast, story line, performances.  	1
Totally believable.  	1
Anne Heche was utterly convincing.  	1
Sam Shepard's portrayal of a gung ho Marine was sobering.  	1
I sat riveted to the TV screen.  	1
All in all I give this one a resounding 9 out of 10.  	1
I do think Tom Hanks is a good actor.  	1
I enjoyed reading this book to my children when they were little.  	1
I was very disappointed in the movie.  	0
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
There is a totally unnecessary train/roller coaster scene.  	0
There was absolutely no warmth or charm to these scenes or characters.  	0
This movie totally grates on my nerves.  	0
The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	0
And, quite honestly, often its not very good.  	0
Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  	0
It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
There are some generally great things in it.  	1
I wouldn't say they're worth 2 hours of your time, though.  	0
The suspense builders were good, & just cross the line from G to PG.  	1
I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  	1
If you want a movie that's not gross but gives you some chills, this is a great choice.  	1
Alexander Nevsky is a great film.  	1
He is an amazing film artist, one of the most important whoever lived.  	1
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business"" of Québec.  ",0,structure film easily tightly construct history cinema think film something vitally important occurs every minute word content level film enough easily fill dozen film anyone right mind ask anything movie quite simply high superlative form cinema imaginable yes film require rather significant amount puzzlesolving piece fit together create beautiful picture short film certainly pull punch graphic far best part game number one best th game series deserve strong love insane game massive level massive unlockable character massive game waste money game kind money waste properly actually graphics good time today graphic crap say canada fun game aye game rock buy play enjoy love pure brilliance flick doom conception idea lame take minor character mediocre pg film make complete nonsequel change tone pgrated family movie wasnt least bit interested confirm film would unfunny generic also manage give away entire movie im exaggerate every moment every plot point every joke tell trailer funny even talented carrell cant save costars dont fare much good people like morgan freeman jonah hill ed helm waste story predictable lazy real effect work presence animal integration scene worst obvious bluegreenscreen work ive ever see whatever cost much didnt translate quality thats sure film succeed despite perhaps obviously meagre budget im glad film didnt go obvious choice lesser film certainly would addition one lovely song ever write french cancan also boast one cutest lead lady ever grace screen hard fall headoverheels love girl negative insipid enough cause regret another hour life waste front screen long whiny pointless recommend wait future effort let one go excellent cast story line performance totally believable anne heche utterly convince sam shepard portrayal gung ho marine sober sit riveted tv screen give one resounding think tom hank good actor enjoy read book child little disappointed movie one character totally annoying voice give feel fingernail chalkboard totally unnecessary trainroller coaster scene absolutely warmth charm scene character movie totally grate nerve performance improve improvisation actor twice much worry whether theyre deliver line well whether line good quite honestly often good often dialogue doesnt really follow one line another fit surroundings crackle unpredictable youthful energy honestly find hard follow concentrate meander badly generally great thing wouldnt say theyre worth hour time though suspense builder good cross line g pg especially like noncliche choice parent movie could predict dialog verbatim write movie make well selection want movie thats gross give chill great choice alexander nevsky great film amaze film artist one important whoever live im glad pretentious piece didnt plan dodge stratus big shot gon na help movie maker arent restrain movie business québec
This if the first movie I've given a 10 to in years.  ,1,first movie ive give year
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,ever movie need wordofmouth promote
"Overall, the film is interesting and thought-provoking.  ",1,overall film interest thoughtprovoking
"Plus, it was well-paced and suited its relatively short run time.  ",1,plus wellpaced suit relatively short run time
Give this one a look.  ,1,give one look
I gave it a 10  ,1,give
The Wind and the Lion is well written and superbly acted.  ,1,wind lion well write superbly act
It is a true classic.  ,1,true classic
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,actually turn pretty decent far blist horrorsuspense film go
Definitely worth checking out.  ,1,definitely worth check
The problem was the script.  ,0,problem script
It was horrendous.  ,0,horrendous
There was NOTHING believable about it at all.  ,0,nothing believable
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,suspense feel frustration retard girl
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1,manna heaven terrific film predictable unpredictable time
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1,scene often funny occasionally touch character evaluate life go
The cast of veteran actors are more than just a nostalgia trip.  ,1,cast veteran actor nostalgia trip
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1,ursula burton portrayal nun touch funny time make fun nun church
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,look movie terrific cast good musicincluding shirley jones rendition way look tonight uplift end give one try
I don't think you will be disappointed.  ,1,dont think disappoint
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,frankly cotton club unfaithful kind embarrass watch lane gere film bad
"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,act bad dialog extremely shallow insincere
"It was too predictable, even for a chick flick.  ",0,predictable even chick flick
Too politically correct.  ,0,politically correct
Very disappointing.  ,0,disappoint
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,thing really worth watch scenery house beautiful
"I love Lane, but I've never seen her in a movie this lousy.  ",0,love lane ive never see movie lousy
An hour and a half I wish I could bring back.  ,0,hour half wish could bring back
But in terms of the writing it's very fresh and bold.  ,1,term write fresh bold
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,act help write along well maybe idiotsavant sister could play good real joy watch
The directing and the cinematography aren't quite as good.  ,0,direct cinematography arent quite good
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,movie boring sometimes find occupied peak paper instead watch never happen columbo movie
"), and sometimes it was so embarrassing that I had to look away.  ",0,sometimes embarrass look away
The directing seems too pretentious.  ,0,direct seem pretentious
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,scene ohsomature neighbourgirl misplace
And generally the lines and plot is weaker than the average episode.  ,0,generally line plot weak average episode
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,scene debate whether sack trumpeter falsely accuse murder pure horror really stupid
"Some applause should be given to the ""prelude"" however.  ",1,applause give prelude however
I really liked that.  ,1,really liked
A great film by a great director.  ,1,great film great director
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,movie edge seat make somewhat afraid go car end night
The music in the film is really nice too.  ,1,music film really nice
I'd advise anyone to go and see it.  ,1,id advise anyone go see
Brilliant!  ,1,brilliant
10/10  ,1,
I liked this movie way too much.  ,1,like movie way much
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,problem think actor play villain low rent michael ironside
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1,rocked world certainly must see anyone social physical outlet
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,however didnt make fact overall tremendously boring movie
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,chemistry ben affleck sandra bullock film couldnt understand would consider even leave wifetobe chick supposedly knock
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0,several moment movie didnt need excruciatingly slow move
"This was a poor remake of ""My Best Friends Wedding"".  ",0,poor remake best friend wed
"All in all, a great disappointment.  ",0,great disappointment
"I cannot believe that the actors agreed to do this ""film"".  ",0,believe actor agree film
I could not stand to even watch it for very long for fear of losing I.Q.  ,0,could stand even watch long fear losing iq
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0,guess nobody network air dribble watch put
"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0,imdb rating go low awful time get negative number case
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0,saw mirrormask last night unsatisfactory experience
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0,unfortunately inexperience direction mean scene scene pass little way dramatic tension conflict
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,central theme film handle ineptly stereotypically depth imagination
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0,pretty picture world make piece work flaw core
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,hour half waste time follow bunch pretty high schoolers whine cry life
"You can't relate with them, hell you barely can understand them.  ",0,cant relate hell barely understand
This is definitely a cult classic well worth viewing and sharing with others.  ,1,definitely cult classic well worth view share others
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,movie pure disaster story stupid edit bad see confuses incredibly
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0,fish badly make underwater shot repeat thousand time film
"A truly, truly bad film.  ",0,truly truly bad film
"The acting is terrible, and the writing is worse.  ",0,act terrible write worse
The only possible way this movie could be redeemed would be as MST3K fodder.  ,0,possible way movie could redeem would mstk fodder
I paid too much.  ,0,pay much
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1,also real treat see anthony quinn play crazy horse
It was so BORING!  ,0,boring
No plot whatsoever!  ,0,plot whatsoever
"Again, no plot at all.  ",0,plot
Horrible!  ,0,horrible
Worst hour and a half of my life!Oh my gosh!  ,0,worst hour half lifeoh gosh
I had to walk out of the theatre for a few minutes just to get some relief!  ,0,walk theatre minute get relief
I hate movies like that.  ,0,hate movie like
"Yeah, the movie pretty much sucked.  ",0,yeah movie pretty much suck
THERE IS NO PLOT OR STORYLINE!!  ,0,plot storyline
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,go see movie bring pillow girlfriendboyfriend keep occupy
Awful.  ,0,awful
I don't think I've ever gone to a movie and disliked it as much.  ,0,dont think ive ever go movie dislike much
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0,good thing ticket cost five dollar would mad id pay see crap
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0,nobody identify character theyre cardboard cutout stereotype predictably reversestereotypes
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,bad film bad write good actorsan ugly cartoon craft paul haggis people cant handle anything bold stroke storytellinga picture paint crayon
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0,crash depress little nothing provokes emotion teach nothing already know racism prejudice bad thing
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1,still like movie empowerment woman there enough movie like one
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,brain attempt shutdown part primal impulse selfpreservation
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0,left shattered experience watching film take good two hour fully recover
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0,movie join revenge boogeyman zombiez part hellish trinity horror film
I certainly do not mean this distinction in a good way.  ,0,certainly mean distinction good way
I mean this in a terrible way.  ,0,mean terrible way
This film has no redeeming features.  ,0,film redeeming feature
Everything is appalling.  ,0,everything appal
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0,artless camerawork endlessly present u ugly set imaginable ie
The story is beyond stupid.  ,0,story beyond stupid
The script iswas there a script?  ,0,script script
The kids are annoying.  ,0,kid annoy
The lead man is charisma-free.  ,0,lead man charismafree
"Utterly without merit on any level, this is akin to torture.  ",0,utterly without merit level akin torture
I'll even say it again  this is torture.  ,0,ill even say  torture
Maybe there would be a reasonable explanation for this atrocity.  ,0,maybe would reasonable explanation atrocity
Not a pleasant voyage of self-discovery.  ,0,pleasant voyage selfdiscovery
Highly unrecommended.  ,0,highly unrecommended
"If this premise sound stupid, that's because it is.  ",0,premise sound stupid thats
"Yes, it's that bad.  ",0,yes bad
Nothing at all to recommend.  ,0,nothing recommend
An excellent performance from Ms.  ,1,excellent performance m
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1,garbo show right bat talent could carry silent era want see silent work netflix doesnt seem stock
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1,also great see renowned silent screenwriter france marion hasnt miss step go silent sound
"This movie suffered because of the writing, it needed more suspense.  ",0,movie suffer write need suspense
There were too many close ups.  ,0,many close ups
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0,movie seem drag hero didnt really work freedom
But this movie is definitely a below average rent.  ,0,movie definitely average rent
"You'll love it!  	1
This movie is BAD.  	0
So bad.  	0
The film is way too long.  	0
This is definitely one of the bad ones.  	0
The movie I received was a great quality film for it's age.  	1
John Wayne did an incredible job for being so young in the movie industry.  	1
His on screen presence shined thought even though there were other senior actors on the screen with him.  	1
I think that it is a must see older John Wayne film.  	1
I really don't see how anyone could enjoy this movie.  	0
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	0
Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
Jamie Foxx absolutely IS Ray Charles.  	1
His performance is simply genius.  	1
He owns the film, just as Spacek owned Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1,youll love movie bad bad film way long definitely one bad one movie receive great quality film age john wayne incredible job young movie industry screen presence shin think even though senior actor screen think must see old john wayne film really dont see anyone could enjoy movie dont think ive ever see movie half boring selfindulgent piece junk probably would better director hadnt spent movie showcasing art work really isnt noteworthy another thing didnt really like character get punched face gallon blood would spew forth soon jamie foxx absolutely ray charles performance simply genius own film spacek own coal miner daughter quaid own great ball fire
